"store_number","name","street","city","state","zip","phone","pro_desk_phone","rental_phone","source_url","territory","assigned_rep_email","tier","latitude","longitude","annual_volume"
"6557","Home Depot North Irving","8555 Home Depot Dr","Irving","TX","75063","(972) 506-3006","","","https://www.homedepot.com/l/North-Irving/TX/Irving/75063/6557","DFW","","B","32.922377229753","-96.979170283642",""
"0563","Home Depot Irving","3200 W Irving Blvd","Irving","TX","75061","(972) 513-2400","","","https://www.homedepot.com/l/Irving/TX/Irving/75061/563","DFW","","B","32.834833562585","-96.992880943881",""
"0537","Home Depot Euless","251 S Industrial Blvd","Euless","TX","76040","(817) 545-3000","","","https://www.homedepot.com/l/Euless/TX/Euless/76040/537","DFW","","B","32.83464833168","-97.099596289507",""
"0587","Home Depot Southlake","300 Village Ctr Dr","Southlake","TX","76092","(817) 251-1554","","","https://www.homedepot.com/l/Southlake/TX/Southlake/76092/587","DFW","","B","32.942424139859","-97.122882580409",""
"6572","Home Depot Flower Mound","852 Long Prairie Rd","Flower Mound","TX","75022","(972) 355-6604","","","https://www.homedepot.com/l/Flower-Mound/TX/Flower-Mound/75022/6572","DFW","","B","32.996395390254","-97.064680072454",""
"0564","Home Depot NW Dallas","11468 Grissom Ln","Dallas","TX","75229","(972) 484-7077","","","https://www.homedepot.com/l/NW-Dallas/TX/Dallas/75229/564","DFW","","B","32.907301301832","-96.886513621282",""
"6533","Home Depot Precinct Line","6411 Precinct Line Rd","North Richland Hills","TX","76182","(817) 656-5274","","","https://www.homedepot.com/l/Precinct-Line/TX/North-Richland-Hills/76182/6533","DFW","","B","32.862304408855","-97.186167749381",""
"6555","Home Depot Carrollton","2011 Keller Springs Rd","Carrollton","TX","75006","(972) 242-8437","","","https://www.homedepot.com/l/Carrollton/TX/Carrollton/75006/6555","DFW","","B","32.973073481099","-96.888089370605",""
"0554","Home Depot North Arlington","201 Rd To Six Flags West","Arlington","TX","76011","(817) 459-4300","","","https://www.homedepot.com/l/North-Arlington/TX/Arlington/76011/554","DFW","","B","32.7583382","-97.1066205",""
"0524","Home Depot Lewisville","901 N Stemmons Pkwy","Lewisville","TX","75067","(972) 436-1398","","","https://www.homedepot.com/l/Lewisville/TX/Lewisville/75067/524","DFW","","B","33.05295488194","-97.010983502108",""
"0540","Home Depot North Richland","6501 Ne Loop 820","N Richland Hills","TX","76180","(817) 485-4400","","","https://www.homedepot.com/l/North-Richland/TX/N-Richland-Hills/76180/540","DFW","","B","32.840700566367","-97.244676664368",""
"6548","Home Depot Keller","2013 Hwy 377","Keller","TX","76248","(817) 745-3376","","","https://www.homedepot.com/l/Keller/TX/Keller/76248/6548","DFW","","B","32.8961825","-97.2555157",""
"0589","Home Depot Lemmon Avenue","6110 Lemmon Ave","Dallas","TX","75209","(214) 654-9939","","","https://www.homedepot.com/l/Lemmon-Avenue/TX/Dallas/75209/589","DFW","","B","32.832458087156","-96.828406420838",""
"6581","Home Depot Roanoke","125 E State Hwy 114","Roanoke","TX","76262","(817) 430-2571","","","https://www.homedepot.com/l/Roanoke/TX/Roanoke/76262/6581","DFW","","B","33.010688988826","-97.219579906766",""
"6534","Home Depot East Fort Worth","1151 Bridgewood Dr","Fort Worth","TX","76112","(817) 496-3212","","","https://www.homedepot.com/l/East-Fort-Worth/TX/Fort-Worth/76112/6534","DFW","","B","32.763804419432","-97.217240553141",""
"6816","Home Depot Oak Cliff","2610 Fort Worth Ave","Dallas","TX","75211","(214) 942-6658","","","https://www.homedepot.com/l/Oak-Cliff/TX/Dallas/75211/6816","DFW","","B","32.7561281","-96.8644727",""
"0551","Home Depot West Plano","6200 W Park Blvd","Plano","TX","75093","(972) 735-9333","","","https://www.homedepot.com/l/West-Plano/TX/Plano/75093/551","DFW","","B","33.027480549383","-96.832663530366",""
"0507","Home Depot Grand Prairie","3850 S Carrier Pkwy","Grand Prairie","TX","75052","(972) 237-0025","","","https://www.homedepot.com/l/Grand-Prairie/TX/Grand-Prairie/75052/507","DFW","","B","32.679658683993","-97.007048197822",""
"6562","Home Depot The Colony","5321 Hwy 121","The Colony","TX","75056","(469) 384-3715","","","https://www.homedepot.com/l/The-Colony/TX/The-Colony/75056/6562","DFW","","B","33.07288495438","-96.874901453595",""
"0598","Home Depot Forest Lane","11682 Forest Central Drive","Dallas","TX","75243","(214) 343-1032","","","https://www.homedepot.com/l/Forest-Lane/TX/Dallas/75243/598","DFW","","B","32.907019825575","-96.767044755006",""
"6814","Home Depot N Fort Worth","7100 N Freeway","Fort Worth","TX","76137","(817) 232-8100","","","https://www.homedepot.com/l/N-Fort-Worth/TX/Fort-Worth/76137/6814","DFW","","B","32.8703372","-97.3129636",""
"0541","Home Depot Arlington","4611 S Cooper St","Arlington","TX","76017","(817) 468-4224","","","https://www.homedepot.com/l/Arlington/TX/Arlington/76017/541","DFW","","B","32.671804354991","-97.13431717334",""
"6804","Home Depot Skillman","6000 Skillman Street","Dallas","TX","75231","(214) 750-5927","","","https://www.homedepot.com/l/Skillman/TX/Dallas/75231/6804","DFW","","B","32.861084237943","-96.751948047543",""
"6504","Home Depot Coit Rd","2220 N Coit Rd","Richardson","TX","75080","(214) 575-3070","","","https://www.homedepot.com/l/Coit-Rd/TX/Richardson/75080/6504","DFW","","B","32.9822653","-96.7653926",""
"8517","Home Depot Grand Prairie South","5280 South Hwy 360","Grand Prairie","TX","75052","(972) 602-9385","","","https://www.homedepot.com/l/Grand-Prairie-South/TX/Grand-Prairie/75052/8517","DFW","","B","32.64113485164","-97.062555052197",""
"0527","Home Depot North Plano","4600 State Hwy 121","Plano","TX","75024","(972) 377-3613","","","https://www.homedepot.com/l/North-Plano/TX/Plano/75024/527","DFW","","B","33.0990785","-96.794351",""
"0552","Home Depot Westmoreland","2901 W Wheatland Rd","Dallas","TX","75237","(972) 709-3063","","","https://www.homedepot.com/l/Westmoreland/TX/Dallas/75237/552","DFW","","B","32.647637042419","-96.867588547588",""
"6840","Home Depot Denton","1900 Brinker Road","Denton","TX","76208","(940) 243-0808","","","https://www.homedepot.com/l/Denton/TX/Denton/76208/6840","DFW","","B","33.186522702921","-97.095921594102",""
"6833","Home Depot Central Plano","1801 W Parker Rd","Plano","TX","75023","(972) 599-3280","","","https://www.homedepot.com/l/Central-Plano/TX/Plano/75023/6833","DFW","","B","33.041174028739","-96.730244543975",""
"0550","Home Depot White Rock","11255 Garland Rd","Dallas","TX","75218","(214) 328-1900","","","https://www.homedepot.com/l/White-Rock/TX/Dallas/75218/550","DFW","","B","32.848573419887","-96.684233625562",""
"0539","Home Depot Plano","1224 N Central Expy","Plano","TX","75074","(972) 423-7011","","","https://www.homedepot.com/l/Plano/TX/Plano/75074/539","DFW","","B","33.01573911787","-96.707946066112",""
"0556","Home Depot Richardson","2140 Jupiter Rd","Garland","TX","75044","(972) 496-5292","","","https://www.homedepot.com/l/Richardson/TX/Garland/75044/556","DFW","","B","32.9329183","-96.6805988",""
"0530","Home Depot Cedar Hill","373 E Fm 1382","Cedar Hill","TX","75104","(972) 299-9390","","","https://www.homedepot.com/l/Cedar-Hill/TX/Cedar-Hill/75104/530","DFW","","B","32.593868762008","-96.938478935067",""
"6568","Home Depot Mansfield","1725 N Us Hwy 287","Mansfield","TX","76063","(817) 453-4038","","","https://www.homedepot.com/l/Mansfield/TX/Mansfield/76063/6568","DFW","","B","32.5883643","-97.1430348",""
"6513","Home Depot North Frisco","5995 Eldorado Pkwy","Frisco","TX","75033","(469) 633-0607","","","https://www.homedepot.com/l/North-Frisco/TX/Frisco/75033/6513","DFW","","B","33.174842812719","-96.83350285254",""
"6549","Home Depot Lake Worth","3950 Jim Wright Frwy","Lake Worth","TX","76135","(817) 237-5355","","","https://www.homedepot.com/l/Lake-Worth/TX/Lake-Worth/76135/6549","DFW","","B","32.8128198","-97.4180839",""
"0583","Home Depot North Denton","2950 W. University Drive","Denton","TX","76201","(940) 334-2300","","","https://www.homedepot.com/l/North-Denton/TX/Denton/76201/583","DFW","","B","33.230094814951","-97.171804484488",""
"6106","Home Depot Prosper","4450 W. University Dr.","Prosper","TX","75078","(469) 296-1800","","","https://www.homedepot.com/l/Prosper/TX/Prosper/75078/6106","DFW","","B","33.2213867","-96.8744558",""
"8976","Home Depot Lancaster","500 North I-35 East","Lancaster","TX","75146","(972) 223-4929","","","https://www.homedepot.com/l/Lancaster/TX/Lancaster/75146/8976","DFW","","B","32.5949832","-96.8195817",""
"0529","Home Depot South Fort Worth","7950 South Fwy","Fort Worth","TX","76134","(817) 293-0343","","","https://www.homedepot.com/l/South-Fort-Worth/TX/Fort-Worth/76134/529","DFW","","B","32.634025981719","-97.322051502248",""
"6542","Home Depot Mesquite","18855 Lyndon B Johnson Fwy","Mesquite","TX","75150","(972) 682-6294","","","https://www.homedepot.com/l/Mesquite/TX/Mesquite/75150/6542","DFW","","B","32.802772175678","-96.627547503605",""
"0553","Home Depot Garland","3261 N George Bush Hwy","Garland","TX","75040","(972) 530-9961","","","https://www.homedepot.com/l/Garland/TX/Garland/75040/553","DFW","","B","32.9460074","-96.6156648",""
"6502","Home Depot Allen","909 W Mcdermott Dr","Allen","TX","75013","(972) 359-0336","","","https://www.homedepot.com/l/Allen/TX/Allen/75013/6502","DFW","","B","33.101042122219","-96.682825677533",""
